书名,作者,朝代,成书年代,类型,卷数,现存状况,核心内容,建筑价值,影响力
考工记,齐国工匠（佚名）,春秋—战国,约公元前5—3世纪,官书/综合技术,1,存世（收录于《周礼》）,记载了30个工种的工艺规程，其中'匠人'篇涉及城市规划、道路宽度和建筑尺度规范，是中国最早的城市规划文献。,规定了王城、诸侯城、卿大夫采邑的城市规模等级，奠定了中国城市规划的礼制框架。,9
营造法式,李诫,北宋,公元1100年（元符三年）,官书/建筑法规,34,存世（中国国家图书馆藏有宋刻本）,详细规定了宫廷官府建筑的设计原则、材料规格、施工技术和劳动定额，分为释名、各作制度、功限、料例和图样五大部分，共收录3555种建筑构件的制作标准。,是中国现存最完整的古代建筑技术规范，确立了以'材'为模数的标准化建筑体系，对后世影响深远，被誉为中国古代建筑的'百科全书'。,10
木经,喻皓,北宋,约公元970—990年,私书/工匠著作,3,已失传（仅《梦溪笔谈》等有片段记录）,中国第一部建筑专著，系统记述了木构建筑的设计和施工经验，包括建筑尺度、构件比例关系等，沈括《梦溪笔谈》中有部分内容引录。,开创了中国建筑著作的先河，确立了工匠撰写建筑专著的传统，其内容被后来的《营造法式》所继承和发展。,8
园冶,计成,明,公元1631年,私书/造园专著,3,存世（日本内阁文库有明刊本，中国国内存清抄本）,中国最早也是最系统的造园学著作，分为兴造论、园说、相地、立基、屋宇、装折、门窗、墙垣、铺地、掇山、选石、借景等章节，全面论述了私家园林的设计理论和方法。,确立了中国文人造园的艺术理论体系，提出'虽由人作，宛自天开'的核心设计理念，对中国园林艺术影响极大，并传播至日本，影响了日式庭园风格。,10
鲁班经,午荣（汇编）,明,约公元1600年（万历年间）,私书/民间匠师著作,3,存世（有明万历本、崇祯本及清代翻刻本）,中国南方民间建筑工匠的技术手册，涵盖宅居、家具、农具制作方法，以及风水、禁忌等民俗内容，反映了明代民间建筑的实际做法。,是研究中国民间建筑（特别是南方民居）技术的重要史料，记录了与《营造法式》不同的民间建筑传统，具有极高的历史价值。,8
工程做法,工部（官修）,清,公元1734年（雍正十二年）,官书/建筑法规,74,存世（故宫博物院藏有原版）,清代官方颁布的建筑技术标准，规定了大木、小木、石、土、瓦、砖、油漆彩画等各作工程的材料、尺寸、劳动定额和造价计算方法，是清代官式建筑的技术规范。,是研究清代官式建筑（包括故宫等皇家建筑）不可缺少的技术文献，确立了以斗口为模数的清式建筑体系。,9
梦溪笔谈,沈括,北宋,约公元1088年（元祐年间）,私书/综合科学笔记,30,存世,北宋著名科学家沈括的科学笔记，其中《技艺》卷记录了喻皓的《木经》内容、开宝寺木塔建造技术，以及多项建筑工程实例，是研究北宋建筑技术的重要史料。,保存了已失传的《木经》片段，记录了北宋建筑工程的实际做法，是连接工匠实践与文献记录的重要桥梁。,8
营缮令,唐朝工部（官修）,唐,公元7世纪（初唐）,官书/建筑法规,1,部分残存（《唐会要》等文献引录）,唐代颁布的建筑等级制度法规，规定了从皇帝到庶民各等级人员的房屋形制、规模、材料的具体标准，是中国历史上最早系统规定建筑等级制度的法规文献。,确立了中国古代建筑的等级制度体系，是礼制建筑文化的法律化体现，对宋明清各代建筑制度均有深远影响。,7
天工开物,宋应星,明,公元1637年（崇祯十年）,私书/技术百科,18,存世（日本有明刻本）,中国古代最重要的综合性技术百科全书，其中《陶埏》《冶铸》《锤锻》等卷详细记载了砖瓦烧制、金属铸造等建筑材料的生产工艺，是研究古代建筑材料生产的重要史料。,详述了传统砖瓦、石灰、金属件等建筑材料的制作工艺，填补了建筑材料技术史的重要空白。,8
长物志,文震亨,明,公元1621年（天启年间）,私书/生活美学,12,存世,明代文人文震亨所著的生活美学著作，其中《室庐》卷专论居室环境布置，涵盖厅堂、书房、庭院、门径等空间的设计原则，体现了文人士大夫对居住环境的审美理想。,是研究明代文人民居文化和审美观的重要史料，与《园冶》并称为明代园居文化的双璧。,7
闲情偶寄,李渔,清,公元1671年（康熙十年）,私书/生活艺术,16,存世,清代著名文人李渔所著的生活艺术全书，其中《居室部》专论建筑设计，从房舍、窗栏、墙壁、联匾、山石等方面，提出了众多独创的建筑美学观念和实用设计方案，充满创新精神。,是研究清代民居建筑美学和室内设计理念的重要史料，其中关于采光、通风、空间利用的论述至今仍有参考价值。,7
工段营造录,李斗,清,公元1795年（乾隆六十年）,私书/工程记录,1,存世（作为《扬州画舫录》附录）,记录了清代扬州地区建筑工程的具体做法，包括建筑构件名称、施工工序、材料用量等，内容传自内廷工程人员，反映了清代民间与官式建筑的实际做法。,是研究清代建筑工程实践的重要史料，填补了官方则例与民间做法之间的记录空白。,6
经世大典,脱脱等（官修）,元,公元1331年（至顺二年）,官书/综合政书,880,大部分已佚，残本散见于《永乐大典》,元代官修的综合性政书，其中'工典'门分22个工种，包含大量建筑营造内容，记录了元代官式建筑的规制、材料和工艺标准，是研究元代建筑的重要文献。,记录了元代建筑的官方规范，填补了宋元之间建筑文献的空白，是研究蒙汉建筑融合的珍贵史料。,6
髹饰录,黄成（著）、杨明（注）,明,约公元1625年（天启年间）,私书/漆艺专著,2,存世（日本有明刻本）,中国唯一系统论述漆器工艺的专著，记录了髹漆技法和漆器种类，与建筑彩画、室内装饰关系密切，是研究中国古建筑室内装饰工艺的重要史料。,记录了传统建筑室内漆艺装饰的技法，是研究古建筑彩画、装修工艺的重要辅助文献。,6
